Continent,Year,Life.Expectancy,Population,CO2.emissions,Electric.power.consumption,Health.expenditure,GDP.per.capita,Individuals.using.the.Internet,Military.expenditure,People.practicing.open.defecation,People.using.at.least.basic.drinking.water.services,Obesity.among.adults,Beer.consumption.per.capita
Africa,2000,56.07151481,23424730.68,1.42886206,594.7517749,4.117035149,4344.84946,0.936464567,3.268741917,30.33814041,60.2398405,7.346428571,0.969973929
Africa,2001,56.23663763,23967663.46,1.460943022,606.6701271,4.394231552,4471.071302,1.257708079,2.70138447,29.78102612,60.87587591,7.578571429,1.004278571
Africa,2002,56.50085192,24527193.18,1.455365742,618.5641696,4.579612521,4578.633406,1.639723627,2.732879045,29.18911718,61.53947588,7.814285714,0.994884643
Africa,2003,56.8549669,25104337.96,1.476517469,655.426069,4.717603791,4817.914744,2.180046548,2.52751351,28.60603137,62.20367131,8.103571429,0.962854643
Africa,2004,57.2968162,25699697.64,1.486021566,675.2622382,4.739831891,5068.482035,3.059279118,2.78836642,28.02322199,62.87386297,8.410714286,0.982975
Africa,2005,57.8243284,26313458.89,1.523175531,707.8047235,4.652297912,5407.989525,3.889579849,2.726845059,27.35615492,63.61602821,8.664285714,1.0424425
Africa,2006,58.4240784,26945759.96,1.519867165,736.8204485,4.727588252,5736.955617,4.775795382,2.688077783,26.6965378,64.38477967,8.957142857,1.079627143
Africa,2007,59.0879547,27597410.29,1.50540515,769.4387637,4.736796576,6122.702813,5.734843387,2.689790887,26.02590038,65.16609277,9.303571429,1.117205
Africa,2008,59.7832047,28270316.96,1.552924532,783.4482191,4.743457059,6287.671801,7.209953862,2.762864911,25.35165274,65.95301885,9.632142857,1.167232857
Africa,2009,60.50501568,28967044.46,1.548988701,762.6157709,5.061684425,6249.487659,8.535196782,2.839532517,24.68935155,66.72763583,9.935714286,1.221971786
Africa,2010,61.21315418,29689938.14,1.600716924,762.0095147,5.02847955,6543.023753,10.82885714,2.693908277,24.03062255,67.49896474,10.32857143,1.258214286
Africa,2011,61.9062439,30440549.07,1.499116122,790.2847711,4.987462243,6228.712537,12.27977877,2.728246472,23.37545187,68.26181611,10.66785714,1.288214286
Africa,2012,62.57726481,31218162.75,1.600392986,780.964814,4.925285608,6687.244197,14.71082333,2.824504793,22.72980801,69.0314928,11.04285714,1.316071429
Africa,2013,63.19185976,32020044.79,1.652580483,783.3693791,5.119239005,6817.449015,17.26537552,3.088123199,22.10969778,69.80339007,11.40357143,1.352857143
Africa,2014,63.75726394,32841984.96,1.694077181,812.6697611,5.016523153,6935.69263,20.11680428,3.432892944,21.49847744,70.57085218,11.82142857,1.413571429
Africa,2015,64.26397038,33682704.18,1.647066579,794.1650991,5.193907429,6927.460479,23.24417714,3.530375535,20.89015351,71.34527241,12.3,1.363928571
Asia,2000,68.4854065,110281636.6,6.344616192,3147.267289,3.936814638,15731.70043,3.240498061,3.271862681,13.88002159,84.10773624,10.78666667,0.337492
Asia,2001,68.83612114,111770148.9,6.319844071,3176.686192,4.066367977,16078.77167,4.421167744,3.263681921,13.3005484,84.51256167,11.09666667,0.357508
Asia,2002,69.1399439,113231265.7,6.560355927,3238.624134,4.276482862,16438.24628,5.715129593,3.219285399,12.7611536,84.97240484,11.42333333,0.364871667
Asia,2003,69.4458626,114668830.1,6.750957994,3321.183468,4.270526727,17048.07744,7.597404668,3.207366208,12.22254438,85.43760714,11.73333333,0.387240667
Asia,2004,69.75903333,116090566.9,6.727867646,3471.478358,4.266620699,18388.79901,9.003011907,2.985653429,11.64769359,85.93722126,12.06333333,0.416130333
