Year,Variable,Rvalue
2000,Beer.consumption.per.capita,0.472526308
2001,Beer.consumption.per.capita,0.459020014
2002,Beer.consumption.per.capita,0.451624263
2003,Beer.consumption.per.capita,0.453217169
2004,Beer.consumption.per.capita,0.444650811
2005,Beer.consumption.per.capita,0.434451258
2006,Beer.consumption.per.capita,0.430416921
2007,Beer.consumption.per.capita,0.428813441
2008,Beer.consumption.per.capita,0.423659799
2009,Beer.consumption.per.capita,0.418154109
2010,Beer.consumption.per.capita,0.400472184
2011,Beer.consumption.per.capita,0.404014631
2012,Beer.consumption.per.capita,0.391315562
2013,Beer.consumption.per.capita,0.383935824
2014,Beer.consumption.per.capita,0.382471903
2015,Beer.consumption.per.capita,0.393769208
2000,CO2.emissions,0.479930332
2001,CO2.emissions,0.48150103
2002,CO2.emissions,0.464339486
2003,CO2.emissions,0.46452925
2004,CO2.emissions,0.466803858
2005,CO2.emissions,0.469377454
2006,CO2.emissions,0.472124663
2007,CO2.emissions,0.479755801
2008,CO2.emissions,0.480499891
2009,CO2.emissions,0.483754907
2010,CO2.emissions,0.486516886
2011,CO2.emissions,0.477664167
2012,CO2.emissions,0.475293831
2013,CO2.emissions,0.467164265
2014,CO2.emissions,0.458456193
2015,CO2.emissions,0.467809555
2000,Electric.power.consumption,0.541797997
2001,Electric.power.consumption,0.54318164
2002,Electric.power.consumption,0.540098677
2003,Electric.power.consumption,0.541848388
2004,Electric.power.consumption,0.549574803
2005,Electric.power.consumption,0.551490494
2006,Electric.power.consumption,0.549807152
2007,Electric.power.consumption,0.554105584
2008,Electric.power.consumption,0.564349013
2009,Electric.power.consumption,0.578185791
2010,Electric.power.consumption,0.582400842
2011,Electric.power.consumption,0.586485347
2012,Electric.power.consumption,0.598607523
2013,Electric.power.consumption,0.600067055
2014,Electric.power.consumption,0.599381939
2015,Electric.power.consumption,0.595713021
2000,Forest.area,-0.078941049
2001,Forest.area,-0.075581092
2002,Forest.area,-0.071043194
2003,Forest.area,-0.064999497
2004,Forest.area,-0.05702804
2005,Forest.area,-0.052597584
2006,Forest.area,-0.047675917
2007,Forest.area,-0.042992116
2008,Forest.area,-0.035382281
2009,Forest.area,-0.032714442
2010,Forest.area,-0.028003988
2011,Forest.area,-0.018005
2012,Forest.area,-0.011403383
2013,Forest.area,-0.004629711
2014,Forest.area,0.002314975
2015,Forest.area,0.01078904
2000,GDP.per.capita,0.541124777
2001,GDP.per.capita,0.541964326
2002,GDP.per.capita,0.541666103
2003,GDP.per.capita,0.538313278
2004,GDP.per.capita,0.536211108
2005,GDP.per.capita,0.543833588
2006,GDP.per.capita,0.547588503
2007,GDP.per.capita,0.560459773
2008,GDP.per.capita,0.574580896
2009,GDP.per.capita,0.584503114
2010,GDP.per.capita,0.585121044
2011,GDP.per.capita,0.587519498
2012,GDP.per.capita,0.587867208
2013,GDP.per.capita,0.606542248
2014,GDP.per.capita,0.630147426
2015,GDP.per.capita,0.688928363
2000,Health.expenditure,0.451288962
2001,Health.expenditure,0.445831049
2002,Health.expenditure,0.440942787
2003,Health.expenditure,0.432499909
2004,Health.expenditure,0.4218239
2005,Health.expenditure,0.413964772
2006,Health.expenditure,0.401375245
2007,Health.expenditure,0.413325192
2008,Health.expenditure,0.42959292
2009,Health.expenditure,0.466420843
2010,Health.expenditure,0.462542276
2011,Health.expenditure,0.504565003
2012,Health.expenditure,0.535525484
2013,Health.expenditure,0.536587052
2014,Health.expenditure,0.565026291
2015,Health.expenditure,0.548557269
2000,Individuals.using.the.Internet,0.575452713
2001,Individuals.using.the.Internet,0.596205456
2002,Individuals.using.the.Internet,0.612497855
2003,Individuals.using.the.Internet,0.635549643
2004,Individuals.using.the.Internet,0.656487745
2005,Individuals.using.the.Internet,0.667405334
2006,Individuals.using.the.Internet,0.691317247
2007,Individuals.using.the.Internet,0.725968119
2008,Individuals.using.the.Internet,0.756403799
2009,Individuals.using.the.Internet,0.784004194
2010,Individuals.using.the.Internet,0.798482817
2011,Individuals.using.the.Internet,0.809570597
2012,Individuals.using.the.Internet,0.809315588
2013,Individuals.using.the.Internet,0.809359243
2014,Individuals.using.the.Internet,0.815595267
2015,Individuals.using.the.Internet,0.817333612
2000,Least.Developed,-0.594258055
2001,Least.Developed,-0.583315138
2002,Least.Developed,-0.573102847
2003,Least.Developed,-0.563972471
2004,Least.Developed,-0.555168143
2005,Least.Developed,-0.547555077
2006,Least.Developed,-0.542746014
2007,Least.Developed,-0.540525079
2008,Least.Developed,-0.541164731
2009,Least.Developed,-0.544119484
2010,Least.Developed,-0.546265564
2011,Least.Developed,-0.548934054
2012,Least.Developed,-0.55348265
2013,Least.Developed,-0.555815964
2014,Least.Developed,-0.55570465
2015,Least.Developed,-0.557850151
2000,Life.Expectancy,1
2001,Life.Expectancy,1
2002,Life.Expectancy,1
2003,Life.Expectancy,1
2004,Life.Expectancy,1
2005,Life.Expectancy,1
2006,Life.Expectancy,1
2007,Life.Expectancy,1
2008,Life.Expectancy,1
2009,Life.Expectancy,1
2010,Life.Expectancy,1
2011,Life.Expectancy,1
2012,Life.Expectancy,1
2013,Life.Expectancy,1
2014,Life.Expectancy,1
2015,Life.Expectancy,1
2000,Military.expenditure,-0.125995393
2001,Military.expenditure,-0.057929673
2002,Military.expenditure,-0.092166633
2003,Military.expenditure,-0.059743502
2004,Military.expenditure,-0.098638675
2005,Military.expenditure,-0.083123703
2006,Military.expenditure,-0.087776314
2007,Military.expenditure,-0.0717183
2008,Military.expenditure,-0.082906959
2009,Military.expenditure,-0.075705238
2010,Military.expenditure,-0.080784282
2011,Military.expenditure,-0.082852666
2012,Military.expenditure,-0.088432028
2013,Military.expenditure,-0.105929894
2014,Military.expenditure,-0.109937657
2015,Military.expenditure,-0.105262854
2000,Obesity.among.adults,0.707303083
2001,Obesity.among.adults,0.702231083
2002,Obesity.among.adults,0.69596349
2003,Obesity.among.adults,0.690536815
2004,Obesity.among.adults,0.687531995
2005,Obesity.among.adults,0.681897564
2006,Obesity.among.adults,0.680855106
2007,Obesity.among.adults,0.679874837
2008,Obesity.among.adults,0.682945985
2009,Obesity.among.adults,0.688091445
2010,Obesity.among.adults,0.690593364
2011,Obesity.among.adults,0.691892827
2012,Obesity.among.adults,0.693888571
2013,Obesity.among.adults,0.694561575
2014,Obesity.among.adults,0.690515605
2015,Obesity.among.adults,0.688009598
2000,People.practicing.open.defecation,-0.672376407
2001,People.practicing.open.defecation,-0.668880043
2002,People.practicing.open.defecation,-0.664817304
2003,People.practicing.open.defecation,-0.662164151
2004,People.practicing.open.defecation,-0.660335919
2005,People.practicing.open.defecation,-0.657864913
2006,People.practicing.open.defecation,-0.658033432
2007,People.practicing.open.defecation,-0.659199726
2008,People.practicing.open.defecation,-0.662683444
2009,People.practicing.open.defecation,-0.667336989
2010,People.practicing.open.defecation,-0.669495962
2011,People.practicing.open.defecation,-0.671634859
2012,People.practicing.open.defecation,-0.674963657
2013,People.practicing.open.defecation,-0.675153758
2014,People.practicing.open.defecation,-0.67238772
2015,People.practicing.open.defecation,-0.672035518
2000,People.using.at.least.basic.drinking.water.services,0.846362152
2001,People.using.at.least.basic.drinking.water.services,0.83852607
2002,People.using.at.least.basic.drinking.water.services,0.831339767
2003,People.using.at.least.basic.drinking.water.services,0.824857419
2004,People.using.at.least.basic.drinking.water.services,0.820598852
2005,People.using.at.least.basic.drinking.water.services,0.816090773
2006,People.using.at.least.basic.drinking.water.services,0.81400038
2007,People.using.at.least.basic.drinking.water.services,0.813276608
2008,People.using.at.least.basic.drinking.water.services,0.815290994
2009,People.using.at.least.basic.drinking.water.services,0.819150287
2010,People.using.at.least.basic.drinking.water.services,0.82095369
2011,People.using.at.least.basic.drinking.water.services,0.823221346
2012,People.using.at.least.basic.drinking.water.services,0.825721301
2013,People.using.at.least.basic.drinking.water.services,0.825473145
2014,People.using.at.least.basic.drinking.water.services,0.821816299
2015,People.using.at.least.basic.drinking.water.services,0.820005468
2000,Population,-0.029314031
2001,Population,-0.029312929
2002,Population,-0.028696474
2003,Population,-0.028974134
2004,Population,-0.030491317
2005,Population,-0.031040645
2006,Population,-0.031848306
2007,Population,-0.03278616
2008,Population,-0.036712382
2009,Population,-0.039717406
2010,Population,-0.043298854
2011,Population,-0.047081387
2012,Population,-0.049816857
2013,Population,-0.053794397
2014,Population,-0.056657576
2015,Population,-0.058017515
