Id,Game,Title,Release,Series,Genre,Sub.genre,Developer,Publisher,Country,Platform,PEGI,Customizable_main,Protagonist,Protagonist_Non_Male,Relevant_males,Relevant_no_males,Percentage_non_male,Criteria,Director,Total_team,female_team,Team_percentage,Metacritic,Destructoid,IGN,GameSpot,Avg_Reviews,Continent,Year,count,Last5Years,ï..Name,Gender,Age,Age_range,Playable,Sexualization,Species,Side,Relevance,Romantic_Interest,Sexualized_clothing,Trophy,Damsel.in.Distress,Sexualized.Cutscenes,Total
BB_Doll,BB,Bloodborne,Mar-15,,RPG,Action RPG,FromSoftware,Sony Computer Entertainment,JPN,PS4,16,Yes,1,1,3,2,40%,TR,M,5,0,0%,9.2,9,9.1,9,9.1,Asia,2015,1,0,Doll,Female,Unknown,Unknown,0,0,Humanoid,P,SC,No,0,0,0,0,0
BB_Gahrman,BB,Bloodborne,Mar-15,,RPG,Action RPG,FromSoftware,Sony Computer Entertainment,JPN,PS4,16,Yes,1,1,3,2,40%,TR,M,5,0,0%,9.2,9,9.1,9,9.1,Asia,2015,1,0,Gahrman,Male,Elderly,Elderly,0,0,Human,B,MC,No,0,0,0,0,0
BB_Gascoigne,BB,Bloodborne,Mar-15,,RPG,Action RPG,FromSoftware,Sony Computer Entertainment,JPN,PS4,16,Yes,1,1,3,2,40%,TR,M,5,0,0%,9.2,9,9.1,9,9.1,Asia,2015,1,0,Gascoigne,Male,Unknown,Unknown,0,0,Human,A,SC,No,0,0,0,0,0
BB_Hunter,BB,Bloodborne,Mar-15,,RPG,Action RPG,FromSoftware,Sony Computer Entertainment,JPN,PS4,16,Yes,1,1,3,2,40%,TR,M,5,0,0%,9.2,9,9.1,9,9.1,Asia,2015,1,0,Hunter,Custom,Adult,Adult,1,0,Human,P,PA,No,0,0,0,0,0
BB_Micolash,BB,Bloodborne,Mar-15,,RPG,Action RPG,FromSoftware,Sony Computer Entertainment,JPN,PS4,16,Yes,1,1,3,2,40%,TR,M,5,0,0%,9.2,9,9.1,9,9.1,Asia,2015,1,0,Micolash,Male,Unknown,Unknown,0,0,Human,A,MA,No,0,0,0,0,0
BL2_Angel,BL2,Borderlands 2,Sep-12,Borderlands,Action,FPS,Gearbox Software,2K Games,USA,Multi,18,No,4,1,8,4,33%,MS,M,7,0,0%,8.1,8.5,9,8.5,8.5,North America,2012,1,0,Angel Guardian,Female,Adult,Adult,0,1,Human,B,MC,No,0,0,1,0,1
BL2_Axton,BL2,Borderlands 2,Sep-12,Borderlands,Action,FPS,Gearbox Software,2K Games,USA,Multi,18,No,4,1,8,4,33%,MS,M,7,0,0%,8.1,8.5,9,8.5,8.5,North America,2012,1,0,Axton,Male,Adult,Adult,1,0,Human,P,PA,No,0,0,0,0,0
BL2_Brick,BL2,Borderlands 2,Sep-12,Borderlands,Action,FPS,Gearbox Software,2K Games,USA,Multi,18,No,4,1,8,4,33%,MS,M,7,0,0%,8.1,8.5,9,8.5,8.5,North America,2012,1,0,Brick,Male,Adult,Adult,0,0,Human,P,SC,No,0,0,0,0,0
BL2_Handsome,BL2,Borderlands 2,Sep-12,Borderlands,Action,FPS,Gearbox Software,2K Games,USA,Multi,18,No,4,1,8,4,33%,MS,M,7,0,0%,8.1,8.5,9,8.5,8.5,North America,2012,1,0,Handsome Jack,Male,Adult,Adult,0,0,Human,A,MA,No,0,0,0,0,0
BL2_Lilith,BL2,Borderlands 2,Sep-12,Borderlands,Action,FPS,Gearbox Software,2K Games,USA,Multi,18,No,4,1,8,4,33%,MS,M,7,0,0%,8.1,8.5,9,8.5,8.5,North America,2012,1,0,Lilith,Female,Adult,Adult,0,0,Human,P,MC,No,0,0,0,0,0
BL2_Maya,BL2,Borderlands 2,Sep-12,Borderlands,Action,FPS,Gearbox Software,2K Games,USA,Multi,18,No,4,1,8,4,33%,MS,M,7,0,0%,8.1,8.5,9,8.5,8.5,North America,2012,1,0,Maya,Female,Adult,Adult,1,0,Human,P,PA,No,0,0,0,0,0
BL2_Mordecai,BL2,Borderlands 2,Sep-12,Borderlands,Action,FPS,Gearbox Software,2K Games,USA,Multi,18,No,4,1,8,4,33%,MS,M,7,0,0%,8.1,8.5,9,8.5,8.5,North America,2012,1,0,Mordecai,Male,Adult,Adult,0,0,Human,P,SC,No,0,0,0,0,0
BL2_Roland,BL2,Borderlands 2,Sep-12,Borderlands,Action,FPS,Gearbox Software,2K Games,USA,Multi,18,No,4,1,8,4,33%,MS,M,7,0,0%,8.1,8.5,9,8.5,8.5,North America,2012,1,0,Roland,Male,Adult,Adult,0,0,Human,P,MC,No,0,0,0,0,0
